segment,n_loans,actual_default_rate,system
Tier 1 (Lowest Risk),11739,4.327455490246187,RiskLens Model
Tier 2,11739,6.729704404123009,RiskLens Model
Tier 3,11738,9.814278411995229,RiskLens Model
Tier 4,11738,12.744930993354917,RiskLens Model
Tier 5,11738,16.80865564832169,RiskLens Model
Tier 6,11738,20.616800136309422,RiskLens Model
Tier 7 (Highest Risk),11738,29.28096779689896,RiskLens Model
A,20497,5.112943357564522,Lending Club Grade
B,29900,11.705685618729097,Lending Club Grade
C,21632,19.60521449704142,Lending Club Grade
D,7758,27.133281773653,Lending Club Grade
E,2028,35.05917159763314,Lending Club Grade
F,335,41.7910447761194,Lending Club Grade
G,81,55.55555555555556,Lending Club Grade
